species_key,species_name,risk_label,source_note
leccinum_holopus,Leccinum holopus,edible,Bog bolete; edible; pale; boggy birch woodland
lepista_nuda,Lepista nuda,edible,Wood blewit; edible; distinctive lilac colour; must be cooked
lepista_saeva,Lepista saeva,edible,Field blewit; edible; autumn grassland
tricholoma_portentosum,Tricholoma portentosum,edible,Dingy knight; good edible; late autumn under conifers
tricholoma_matsutake,Tricholoma matsutake,edible,Matsutake; highly prized edible; pine forests; commercial importance in Norway
cortinarius_caperatus,Cortinarius caperatus,edible,Gypsy mushroom; good edible despite being Cortinarius; distinctive wrinkled cap and veil
clitocybe_odora,Clitocybe odora,edible,Aniseed funnel; edible; very distinctive anise smell
flammulina_velutipes,Flammulina velutipes,edible,Velvet shank; edible; cultivated as enoki; winter species on dead wood
kuehneromyces_mutabilis,Kuehneromyces mutabilis,edible,Sheathed woodtuft; edible; important not to confuse with deadly Galerina marginata
hygrophorus_marzuolus,Hygrophorus marzuolus,edible,March webcap; edible; early spring under conifers
ramaria_botrytis,Ramaria botrytis,edible,Cauliflower coral; edible; choose carefully as many Ramaria species are questionable
cantharellus_aurora,Cantharellus aurora,edible,Golden chanterelle; edible
hygrophorus_hypothejus,Hygrophorus hypothejus,edible,Herald of winter; edible; late autumn pine forests
lycoperdon_perlatum,Lycoperdon perlatum,edible,Common puffball; edible when young and interior is white; similar to giant puffball
